AP 0     PRB: 218/2660        Bitrate: 32.3198717825266/1200
AP 1     PRB: 769/2660        Bitrate: 49.297542616529796/1200
AP 2     PRB: 671/2660        Bitrate: 40.532573641785845/1200
AP 3     PRB: 17/2660        Bitrate: 16.29440274882952/1200
AP 4     PRB: 0/2660        Bitrate: 0/1200
AP 5     PRB: 0/2660        Bitrate: 0/1200
AP 6     PRB: 0/2660        Bitrate: 0/1200
AP 7     PRB: 0/2660        Bitrate: 0/1200
AP 8     PRB: 655/2660        Bitrate: 40.547135459452264/1200
AP 9     PRB: 0/2660        Bitrate: 0/1200
AP 10     PRB: 211/2660        Bitrate: 28.864344274655213/1200
AP 11     PRB: 470/2660        Bitrate: 32.7123507979642/1200
AP 12     PRB: 621/2660        Bitrate: 44.19252263654931/1200
AP 13     PRB: 550/2660        Bitrate: 44.397575802744164/1200
AP 14     PRB: 359/2660        Bitrate: 25.707427737918177/1200
AP 15     PRB: 811/2660        Bitrate: 84.93561096165242/1200
AP 16     PRB: 846/2660        Bitrate: 36.82130377767352/1200
AP 17     PRB: 513/2660        Bitrate: 44.963733189587245/1200
AP 18     PRB: 2660/2660        Bitrate: 121.99810634497324/1200
AP 19     PRB: 1312/2660        Bitrate: 85.09865605748904/1200
AP 20     PRB: 1116/2660        Bitrate: 61.114799810785186/1200
AP 21     PRB: 2055/2660        Bitrate: 109.30931203295609/1200
AP 22     PRB: 2660/2660        Bitrate: 117.94747826567847/1200
AP 23     PRB: 1618/2660        Bitrate: 112.94950240825112/1200
AP 24     PRB: 725/2660        Bitrate: 40.67025588441222/1200
AP 25     PRB: 17/2660        Bitrate: 16.29449786846288/1200
AP 26     PRB: 0/2660        Bitrate: 0/1200
AP 27     PRB: 0/2660        Bitrate: 0/1200
AP 28     PRB: 0/2660        Bitrate: 0/1200
AP 29     PRB: 0/2660        Bitrate: 0/1200
AP 30     PRB: 0/2660        Bitrate: 0/1200
AP 31     PRB: 0/2660        Bitrate: 0/1200
AP 32     PRB: 196/2660        Bitrate: 28.485475346059893/1200
AP 33     PRB: 0/2660        Bitrate: 0/1200
AP 34     PRB: 17/2660        Bitrate: 16.29449493382743/1200
AP 35     PRB: 222/2660        Bitrate: 32.338526480105386/1200
AP 36     PRB: 821/2660        Bitrate: 56.632679191037674/1200
AP 37     PRB: 17/2660        Bitrate: 16.294407123904747/1200
AP 38     PRB: 1580/2660        Bitrate: 65.80287757666623/1200
AP 39     PRB: 891/2660        Bitrate: 36.829987603403936/1200
